"musician","album","label","edit","crow","core","thou"
"Aaltonen, Juhani","Etiquette","Love",7,"No","No","No"
"Aaltonen, Juhani","Mother Tongue","TUM",7,"No","No","No"
"Abash","Jazz","Dragon",4,"No","No","No"
"Abdullah, Ahmed","Tara's Song","TUM",8,"No","No","No"
"Abercrombie, John","Animato","ECM",2,"No","No","No"
"Abercrombie, John","While We're Young","ECM",2,"No","No","No"
"Abercrombie, John","November","ECM",2,"No","No","No"
"Abercrombie, John","Timeless","ECM",4,"No","No","Yes"
"Abercrombie, John","Cat 'n Mouse","ECM",6,"No","No","No"
"Abercrombie, John","Class Trip","ECM",7,"No","No","No"
"Abercrombie, John","Structures","Chesky",9,"No","No","No"
"Abercrombie, John","Third Quartet","ECM",9,"Yes","No","No"
"Abou-Khalil, Rabih","Between Dusk And Dawn","MMP",1,"No","No","No"
"Abou-Khalil, Rabih","Bukra","MMP",1,"No","No","No"
"Abou-Khalil, Rabih","Blue Camel","Enja",2,"No","No","No"
"Abou-Khalil, Rabih","Cactus Of Knowledge","Enja",6,"No","No","No"
"Abrams, M Richard","Blu Blu Blu","Black Saint",1,"No","No","Yes"
"Abrams, M Richard","One Line, Two Views","New World",3,"No","No","No"
"Abrams, M Richard","Vision Towards Essence","Pi",9,"No","No","No"
"Ackley, Bruce","The Hearing","Avant",5,"No","No","No"
"Adderley, Cannonball","Somethin' Else","Blue Note",1,"No","Yes","Yes"
"Adderley, Cannonball","At The Lighthouse","Capitol",8,"No","No","No"
"Adderley, Nat","Work Song","OJC",1,"No","No","Yes"
"Adderley, Nat","Work Song","Sweet Basil",2,"No","No","No"
"Adderley, Nat","Little Big Horn","OJC",5,"No","No","No"
"Affif, Ron","52 Street","Pablo",4,"No","No","No"
"Affinity","Plays 9 Modern Classics","Music & Arts",3,"No","No","No"
"Affinity","Tribute To Eric Dolphy","Music & Arts",4,"No","No","No"
"Air","Air Time","Nessa",4,"No","Yes","Yes"
"Akiyoshi, Toshiko","TA-Lew Tabackin BB","Novus",1,"No","No","Yes"
"Akiyoshi, Toshiko","Hiroshima","True Life",7,"No","No","No"
"Albany, Joe","Right Combination","OJC",10,"No","No","Yes"
"Alden, Howard","Your Story - Bill Evans","Concord",3,"No","No","No"
"Alden, Howard","Take Your Pick","Concord",4,"No","No","No"
"Alexander, Eric","Man With A Horn","Milestone",5,"No","No","No"
"Alexander, Monty","3 Originals 74-79","MPS",3,"No","No","No"
"Ali, Rashied","Swift Are The Winds of Life","Knitting",9,"No","No","No"
"Allan, Jan","JA - 70","Phono Suecia",5,"Yes","No","No"
"Allen, Geri","Live At The VV","DIW",1,"No","No","No"
"Allen, Geri","Home Grown","Minor",2,"No","No","No"
"Allen, Geri","The Gathering","Verve",5,"No","No","No"
"Allen, Geri","Life of a Song","Telarc",8,"No","No","Yes"
"Allen, Harry","Day Dream","RCA",5,"No","No","No"
"Allen, Henry 'Red'","NY Orchestra 29-30 I & II","JSP",1,"No","No","No"
"Allen, Henry 'Red'","His Orchestra 29-33","Classics",1,"No","Yes","Yes"
"Allen, Henry 'Red'","HRA 1929-1936","BBC",1,"No","No","No"
"Allen, Henry 'Red'","World On A String","RCA Bluebird",1,"No","No","No"
"Allen, Henry 'Red'","Swing Out","Topaz",3,"No","No","No"
"Allison, Ben","Riding The Nuclear Tiger","Palmetto",6,"No","No","Yes"
"Allison, Ben","Buzz","Palmetto",8,"No","No","No"
"Allison, Mose","Sings and Plays","Prestige",2,"No","No","No"
"Allison, Mose","I Don't Worry About","Atlantic",2,"No","No","No"
"Allison, Mose","Sage Of Tippo","32 Jazz",5,"No","No","No"
"Allison, Mose","The Word From Mose","Atlantic",6,"No","Yes","No"
"Allison, Mose","Ramblin' With Mose","OJC",9,"No","No","No"
"Amalgam","Prayer For Peace","FMR",7,"Yes","No","Yes"
"AMM","The Crypt 12 June 68","Matchless",1,"No","No","No"
"AMM","Nameless Uncarved Blk","Matchless",1,"No","No","No"
"AMM","Newfoundland","Matchless",2,"No","No","No"
"AMM","Laminal","Matchless",4,"No","No","Yes"
"AMM","Live In Allentown USA","Matchless",4,"No","No","No"
"AMM","Apogee","Matchless",8,"No","No","No"
"Ammons, Gene","GA Story: Gentle Jug","Prestige",10,"No","No","Yes"
"Amsallem, Franck","Another Time","A Records",4,"No","No","No"
"Andersen, Arild","Hyperborean","ECM",4,"No","No","Yes"
"Anderson, Fred","Back At Velvet Lounge","Delmark",9,"No","No","No"
"Anderson, Ray","Cheer Up","Hat Art",3,"No","No","No"
"Anderson, Ray","Heads and Tales","Enja",4,"No","No","No"
"Anderson, Ray","Slideride","Hat Art",4,"No","No","No"
"Anderson, Ray","Where Home Is","Enja",5,"No","No","No"
"Anderson, Reid","Abolish Bad Architecture","Fresh Sound",5,"No","No","No"
"Anderson, Reid","Vastness of Space","Fresh Sound",6,"No","No","No"
"Apaturia Quintet","Apaturia","YVP",4,"No","No","No"
"Arcana","Last Wave","DIW",4,"No","No","No"
"Arguelles, Julian","Escapade","Provocateur",5,"No","No","No"
"Arguelles, Julian","Partita","Basho",9,"No","No","No"
"Armstrong, Louis","LA & The Blues Singers","Affinity",1,"No","No","No"
"Armstrong, Louis","LA 1923-31","JCDS",4,"No","No","No"
"Armstrong, Louis","Hot 5s & 7s 1-3","JSP",1,"Yes","No","No"
"Armstrong, Louis","LA Vols. 1-7; 3","Columbia",1,"Yes","No","No"
"Armstrong, Louis","Hot 5s & 7s Complete","Columbia",6,"Yes","Yes","Yes"
"Armstrong, Louis","25 Greatest Hot 5s","ASV",4,"No","No","No"
"Armstrong, Louis","LA Hot 5s & 7s","Classics",1,"No","No","No"
"Armstrong, Louis","Big Bands Vol 1,2","JSP",1,"No","No","No"
"Armstrong, Louis","LA in NY","Columbia",1,"No","No","No"
"Armstrong, Louis","LA pre 36, 37-38","Classics",1,"No","No","No"
"Armstrong, Louis","Young LA 30-33","RCA",3,"No","No","No"
"Armstrong, Louis","Pops: 1940 Small Bands","Bluebird",2,"No","No","No"
"Armstrong, Louis","Big Band To All Stars","RCA",3,"No","No","No"
"Armstrong, Louis","Complete Town Hall","RCA",3,"No","No","No"
"Armstrong, Louis","California Concerts 51-55","MCA",2,"No","No","Yes"
"Armstrong, Louis","Chicago Concert '56","Columbia",2,"No","No","No"
"Armstrong, Louis","Satchmo Vol. 1-3","Jazz Unltd",2,"No","No","No"
"Armstrong, Louis","LA And Duke Ellington","Roulette",1,"No","No","No"
"Armstrong, Louis","Great Summit","Roulette",6,"No","No","No"
"Armstrong, Louis","Portrait of Artist","Columbia",4,"No","No","No"
"Armstrong, Louis","Rhythm Save The World","Naxos",8,"No","No","No"
"Armstrong, Louis","Satchel Mouth Swing","Naxos",8,"No","No","No"
"Armstrong, Louis","Complete RCA","RCA",6,"No","Yes","No"
"Armstrong, Louis","LA 44-46","Classics",9,"No","No","No"
"Armstrong, Louis","LA 46-47","Classics",,"No","Yes","No"
"Armstrong, Louis","LA 47","Classics",9,"No","Yes","Yes"
"Armstrong, Louis","Complete NY & Boston","Fresh Sound",9,"No","Yes","Yes"
"Arndt, Bernhard","Inside Insight","FMP",9,"No","No","No"
"Arnold, Harry","Big Band 63/65 Vol 2","Dragon",8,"No","No","No"
"Arnold, Harry","Big Band 64/65 Vols 1 &2 ","Dragon",10,"No","No","Yes"
"Arriale, Lynne","Inspiration","TCB",6,"No","No","No"
"Arriale, Lynne","Come Together","Motema",8,"No","No","No"
"Art Ensemble","People In Sorrow","Nessa",1,"No","No","No"
"Art Ensemble","Urban Bushman","ECM",1,"No","No","No"
"Art Ensemble","The Alternate Express","DIW",1,"No","No","No"
"Art Ensemble","67-68","Nessa",2,"No","Yes","No"
"Art Ensemble","Jackson In House / Message","Charly",10,"No","No","Yes"
"Askren, Dave","Some Other Things","Sea Breeze",9,"No","No","No"
"Atomic","Boom Boom","Jazzland",8,"No","No","No"
"Atomic","Bikini Tapes","Jazzland",8,"No","No","No"
"Attias, Michael","Credo","Clean Feed",9,"No","No","No"
